var1,var2,verb,answer,probability
"('Lung Cancer', 'yes/no')","('X-ray Result', 'positive/negative')",affect,TRUE,0.999796242
"('X-ray Result', 'positive/negative')","('Lung Cancer', 'yes/no')",affect,FALSE,0.999999687
"('Lung Cancer', 'yes/no')","('X-ray Result', 'positive/negative')",NOT affect,FALSE,0.904648477
"('Lung Cancer', 'yes/no')","('Dyspnea', 'yes/no')",affect,TRUE,0.999999687
"('Dyspnea', 'yes/no')","('Lung Cancer', 'yes/no')",affect,FALSE,0.99999933
"('Lung Cancer', 'yes/no')","('Dyspnea', 'yes/no')",NOT affect,FALSE,0.999796004
"('Bronchitis', 'yes/no')","('individual has either Tuberculosis or Lung Cancer', 'yes/no')",affect,FALSE,0.999999687
"('individual has either Tuberculosis or Lung Cancer', 'yes/no')","('Bronchitis', 'yes/no')",affect,TRUE,0.99973846
"('Bronchitis', 'yes/no')","('individual has either Tuberculosis or Lung Cancer', 'yes/no')",NOT affect,TRUE,0.777298546
"('Bronchitis', 'yes/no')","('X-ray Result', 'positive/negative')",affect,TRUE,0.85195144
"('X-ray Result', 'positive/negative')","('Bronchitis', 'yes/no')",affect,FALSE,0.999999568
"('Bronchitis', 'yes/no')","('X-ray Result', 'positive/negative')",NOT affect,FALSE,0.679175397
"('Bronchitis', 'yes/no')","('Dyspnea', 'yes/no')",affect,TRUE,0.999999568
"('Dyspnea', 'yes/no')","('Bronchitis', 'yes/no')",affect,FALSE,0.999999687
"('Bronchitis', 'yes/no')","('Dyspnea', 'yes/no')",NOT affect,FALSE,0.999941279
"('individual has either Tuberculosis or Lung Cancer', 'yes/no')","('X-ray Result', 'positive/negative')",affect,TRUE,0.999999568
"('X-ray Result', 'positive/negative')","('individual has either Tuberculosis or Lung Cancer', 'yes/no')",affect,FALSE,0.991421606
"('individual has either Tuberculosis or Lung Cancer', 'yes/no')","('X-ray Result', 'positive/negative')",NOT affect,FALSE,0.924139836
"('individual has either Tuberculosis or Lung Cancer', 'yes/no')","('Dyspnea', 'yes/no')",affect,TRUE,0.999999687
"('Dyspnea', 'yes/no')","('individual has either Tuberculosis or Lung Cancer', 'yes/no')",affect,FALSE,0.99999933
"('individual has either Tuberculosis or Lung Cancer', 'yes/no')","('Dyspnea', 'yes/no')",NOT affect,FALSE,0.99682662
"('X-ray Result', 'positive/negative')","('Dyspnea', 'yes/no')",affect,FALSE,0.997526928
"('Dyspnea', 'yes/no')","('X-ray Result', 'positive/negative')",affect,FALSE,0.99999933
"('X-ray Result', 'positive/negative')","('Dyspnea', 'yes/no')",NOT affect,FALSE,0.977021023
